Cód,Materia,Primer llamado,Hora,Segundo llamado,Hora
25.62,Electrónica Aeroespacial,"martes, 14 de julio de 2026",15:00,"martes, 21 de julio de 2026",15:00
25.63,Redes Neuronales,"miércoles, 8 de julio de 2026",10:00,"miércoles, 15 de julio de 2026",10:00
25.87,Redes Neuronales II,"viernes, 10 de julio de 2026",13:00,"viernes, 17 de julio de 2026",13:00
25.88,Redes Neuronales III,"viernes, 17 de julio de 2026",13:00,"viernes, 24 de julio de 2026",13:00
30.01,Mecánica y Mecanismos,"lunes, 13 de julio de 2026",16:00,"lunes, 20 de julio de 2026",16:00
30.02,Máquinas Térmicas,"miércoles, 8 de julio de 2026",16:00,"miércoles, 15 de julio de 2026",16:00
30.03,Instalaciones Térmicas,"jueves, 16 de julio de 2026",16:00,"jueves, 23 de julio de 2026",16:00
30.06,Motores de Combustión Interna,"miércoles, 8 de julio de 2026",13:00,"miércoles, 22 de julio de 2026",13:00
30.07,Elementos Finitos I,"jueves, 16 de julio de 2026",14:00,"jueves, 23 de julio de 2026",14:00
30.09,Motores de Combustión Interna,"miércoles, 8 de julio de 2026",13:00,"miércoles, 22 de julio de 2026",13:00
30.12,Diseño mecánico avanzado,"martes, 7 de julio de 2026",16:00,"martes, 14 de julio de 2026",16:00
30.14,Mecánica de Fluidos Computacional,"jueves, 16 de julio de 2026",19:00,"jueves, 23 de julio de 2026",19:00
30.19,Introducción a la Dinámica del Autómovil,"viernes, 10 de julio de 2026",19:00,"viernes, 24 de julio de 2026",19:00
30.21,Ciclos Reales en Motores de Combustión Interna,"viernes, 17 de julio de 2026",16:00,"viernes, 24 de julio de 2026",16:00
30.23,Mantenimiento Industrial,"jueves, 16 de julio de 2026",19:00,"jueves, 23 de julio de 2026",19:00
30.24,Metalurgia Física I,"lunes, 13 de julio de 2026",19:00,"lunes, 20 de julio de 2026",19:00
30.25,Ciencia de Materiales II,"viernes, 3 de julio de 2026",13:00,"viernes, 10 de julio de 2026",13:00
30.26,Ciencia de Materiales I,"martes, 7 de julio de 2026",8:00,"martes, 14 de julio de 2026",8:00
30.32,Termodinámica y sus aplicaciones,"lunes, 6 de julio de 2026",16:00,"martes, 14 de julio de 2026",13:00
30.36,Diseño de Motores de Combustión Interna,"viernes, 17 de julio de 2026",16:00,"viernes, 24 de julio de 2026",16:00
30.37,Diseño de Motores de Combustión Interna,"viernes, 17 de julio de 2026",16:00,"viernes, 24 de julio de 2026",16:00
30.38,Dinámica del Automóvil,"viernes, 10 de julio de 2026",19:00,"viernes, 24 de julio de 2026",19:00
30.39,Dinámica del Automóvil,"viernes, 10 de julio de 2026",19:00,"viernes, 24 de julio de 2026",19:00
30.40,Sistemas Mecatrónicos del Autómovil,"jueves, 16 de julio de 2026",15:00,"jueves, 23 de julio de 2026",15:00
30.41,Diseño Mecánico I,"jueves, 2 de julio de 2026",9:00,"jueves, 16 de julio de 2026",9:00
30.42,Diseño Mecánico II,"jueves, 2 de julio de 2026",16:00,"miércoles, 15 de julio de 2026",16:00
30.43,Diseño Mecánico III A,"viernes, 10 de julio de 2026",9:00,"viernes, 17 de julio de 2026",9:00
30.44,Diseño Mecánico III B,"martes, 7 de julio de 2026",11:00,"jueves, 16 de julio de 2026",13:00
30.45,Diseño Mecánico IV,"martes, 7 de julio de 2026",19:00,"martes, 14 de julio de 2026",19:00
30.46,Laboratorio de Diseño Mecánico,"viernes, 3 de julio de 2026",14:00,"viernes, 10 de julio de 2026",14:00
30.47,Termofluidos I,"lunes, 6 de julio de 2026",9:00,"lunes, 13 de julio de 2026",9:00
30.48,Termofluidos II,"lunes, 13 de julio de 2026",14:00,"lunes, 20 de julio de 2026",14:00
30.49,Máquinas Térmicas e Hidráulicas,"viernes, 17 de julio de 2026",15:00,"viernes, 24 de julio de 2026",15:00
30.50,Mecánica del Continuo,"viernes, 10 de julio de 2026",13:00,"viernes, 17 de julio de 2026",13:00
30.51,Introducción a la Ingeniería Mecánica,"jueves, 2 de julio de 2026",14:00,"jueves, 16 de julio de 2026",14:00
30.52,Mecánica Aplicada,"lunes, 13 de julio de 2026",19:00,"lunes, 20 de julio de 2026",19:00
30.53,Mecánica de Sólidos Computacional,"jueves, 16 de julio de 2026",14:00,"jueves, 23 de julio de 2026",14:00
